Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
 World,"Serbia, FR(Serbia/Montenegro)",2018,Export,4329,92.74,24385396.45,0.13
 World,Singapore,2018,Export,4474,95.84,304655434.5,1.64
 World,South Georgia and the South Sa,2018,Export,66,1.41,199.72,0
 World,Saint Helena,2018,Export,1311,28.08,38138.8,0
 World,Solomon Islands,2018,Export,2147,45.99,485988.72,0
 World,Sierra Leone,2018,Export,2594,55.57,1064734.95,0.01
 World,El Salvador,2018,Export,3639,77.96,7898447.53,0.04
 World,San Marino,2018,Export,1466,31.41,317986.77,0
 World,Somalia,2018,Export,2800,59.98,3400075.3,0.02
 World,Special Categories,2018,Export,1985,42.52,30210786.31,0.16
 World,Saint Pierre and Miquelon,2018,Export,1670,35.78,47902.53,0
 World,South Sudan,2018,Export,2348,50.3,876205.33,0
 World,Sub-Saharan Africa,2018,Export,,,335878736.9,1.81
 World,Sao Tome and Principe,2018,Export,2160,46.27,137928.38,0
 World,Sudan,2018,Export,3476,74.46,7602661.77,0.04
 World,Suriname,2018,Export,2790,59.77,1275870.78,0.01
 World,Slovak Republic,2018,Export,4463,95.61,78971993.89,0.43
 World,Slovenia,2018,Export,4437,95.05,42008057.63,0.23
 World,Sweden,2018,Export,4502,96.44,154199833.9,0.83
 World,Swaziland,2018,Export,3917,83.91,1723707.61,0.01
 World,Saint Maarten (Dutch part),2018,Export,2295,49.16,879348.88,0
 World,Seychelles,2018,Export,3093,66.26,933443.93,0.01
 World,Syrian Arab Republic,2018,Export,3469,74.31,6561415.38,0.04
 World,Turks and Caicos Isl.,2018,Export,1661,35.58,469867.48,0
 World,Chad,2018,Export,2175,46.59,1026937.7,0.01
 World,Togo,2018,Export,2995,64.16,11679586.44,0.06
 World,Thailand,2018,Export,4487,96.12,203189846.3,1.1
 World,Tajikistan,2018,Export,3109,66.6,3652710.59,0.02
 World,Tokelau,2018,Export,547,11.72,31835.79,0
 World,Turkmenistan,2018,Export,3172,67.95,2412217.56,0.01
 World,East Timor,2018,Export,2382,51.03,479018.93,0
 World,Tonga,2018,Export,2111,45.22,208975.9,0
 World,Trinidad and Tobago,2018,Export,3483,74.61,5606208.99,0.03
 World,Tunisia,2018,Export,4091,87.64,21014770.12,0.11
 World,Turkey,2018,Export,4495,96.29,198206602.5,1.07
 World,Tuvalu,2018,Export,1048,22.45,87109.52,0
 World,Tanzania,2018,Export,3808,81.58,11427027.24,0.06
 World,Uganda,2018,Export,3627,77.7,3804110.61,0.02
 World,Ukraine,2018,Export,4382,93.87,55944161.26,0.3
 World,United States Minor Outlying I,2018,Export,379,8.12,20727.65,0
 World,Unspecified,2018,Export,3434,73.56,626453567.6,3.38
 World,Uruguay,2018,Export,3884,83.2,11892027.99,0.06
 World,United States,2018,Export,4636,99.31,2314963130,12.49
 World,Uzbekistan,2018,Export,3866,82.82,16944757.4,0.09
 World,Holy See,2018,Export,311,6.66,61985.34,0
 World,St. Vincent and the Grenadines,2018,Export,1761,37.72,261292.66,0
 World,Venezuela,2018,Export,3343,71.62,11198338.31,0.06
 World,British Virgin Islands,2018,Export,1989,42.61,1668661.39,0.01
 World,Vietnam,2018,Export,4476,95.89,258778844,1.4
 World,Vanuatu,2018,Export,2317,49.64,313625.33,0
 World, World,2018,Export,4668,100,18528796141,100
 World,Wallis and Futura Isl.,2018,Export,1127,24.14,39222.7,0
 World,Samoa,2018,Export,2339,50.11,401040.41,0
 World,Yemen,2018,Export,3237,69.34,8693977.3,0.05
 World,South Africa,2018,Export,4462,95.59,86460969.25,0.47
 World,"Congo, Dem. Rep.",2018,Export,3799,81.38,7162572.34,0.04
 World,Zambia,2018,Export,3895,83.44,5606249.87,0.03
 World,Zimbabwe,2018,Export,3846,82.39,3879534.06,0.02
